연번,위치주소(지번 비공개),조사년도,빈집유형,주택유형,철거 또는 활용동의,관리부서,데이터기준일자,위도,경도,좌표정확도,읍면,주거적합점수,관광숙박적합점수,추천용도
113,전라남도 담양군 가사문학면 무동리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.1386981410942,127.044088988748,정확(리 단위),가사문학면,5.0,19.1,관광·숙박(게스트하우스/카페)
114,전라남도 담양군 가사문학면 무동리,2022,철거형,단독주택,동의,도시과,2023-05-15,35.1386981410942,127.044088988748,정확(리 단위),가사문학면,5.0,19.1,관광·숙박(게스트하우스/카페)
115,전라남도 담양군 가사문학면 구산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1355360204812,127.079668722563,정확(리 단위),가사문학면,5.0,19.1,관광·숙박(게스트하우스/카페)
116,전라남도 담양군 가사문학면 구산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1355360204812,127.079668722563,정확(리 단위),가사문학면,5.0,19.1,관광·숙박(게스트하우스/카페)
117,전라남도 담양군 가사문학면 구산리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.1355360204812,127.079668722563,정확(리 단위),가사문학면,5.0,19.1,관광·숙박(게스트하우스/카페)
118,전라남도 담양군 가사문학면 가암리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1605502160781,127.061789379142,정확(리 단위),가사문학면,5.0,19.1,관광·숙박(게스트하우스/카페)
119,전라남도 담양군 가사문학면 가암리,2022,활용형,단독주택,동의,도시과,2023-05-15,35.1605502160781,127.061789379142,정확(리 단위),가사문학면,5.0,19.1,관광·숙박(게스트하우스/카페)
120,전라남도 담양군 가사문학면 가암리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1605502160781,127.061789379142,정확(리 단위),가사문학면,5.0,19.1,관광·숙박(게스트하우스/카페)
121,전라남도 담양군 가사문학면 풍암리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1792121998184,127.053661983989,정확(리 단위),가사문학면,5.0,19.1,관광·숙박(게스트하우스/카페)
122,전라남도 담양군 가사문학면 풍암리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.1792121998184,127.053661983989,정확(리 단위),가사문학면,5.0,19.1,관광·숙박(게스트하우스/카페)
123,전라남도 담양군 가사문학면 풍암리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1792121998184,127.053661983989,정확(리 단위),가사문학면,5.0,19.1,관광·숙박(게스트하우스/카페)
124,전라남도 담양군 창평면 창평리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2370182061332,127.012058337755,정확(리 단위),창평면,16.0,27.4,관광·숙박(게스트하우스/카페)
125,전라남도 담양군 창평면 삼천리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2397996206605,127.024838211093,정확(리 단위),창평면,16.0,27.4,관광·숙박(게스트하우스/카페)
126,전라남도 담양군 창평면 삼천리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2397996206605,127.024838211093,정확(리 단위),창평면,16.0,27.4,관광·숙박(게스트하우스/카페)
127,전라남도 담양군 창평면 용수리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2290135084429,127.034536888919,정확(리 단위),창평면,16.0,27.4,관광·숙박(게스트하우스/카페)
128,전라남도 담양군 창평면 유천리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2184776388612,127.023135846536,정확(리 단위),창평면,16.0,27.4,관광·숙박(게스트하우스/카페)
129,전라남도 담양군 창평면 오강리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2173438729177,127.008149714943,정확(리 단위),창평면,16.0,27.4,관광·숙박(게스트하우스/카페)
130,전라남도 담양군 창평면 오강리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2173438729177,127.008149714943,정확(리 단위),창평면,16.0,27.4,관광·숙박(게스트하우스/카페)
131,전라남도 담양군 창평면 오강리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2173438729177,127.008149714943,정확(리 단위),창평면,16.0,27.4,관광·숙박(게스트하우스/카페)
132,전라남도 담양군 창평면 오강리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2173438729177,127.008149714943,정확(리 단위),창평면,16.0,27.4,관광·숙박(게스트하우스/카페)
133,전라남도 담양군 창평면 오강리,2022,활용형,단독주택,동의,도시과,2023-05-15,35.2173438729177,127.008149714943,정확(리 단위),창평면,16.0,27.4,관광·숙박(게스트하우스/카페)
134,전라남도 담양군 창평면 유곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.250217573419,126.988344061911,정확(리 단위),창평면,16.0,27.4,관광·숙박(게스트하우스/카페)
