연번,위치주소(지번 비공개),조사년도,빈집유형,주택유형,철거 또는 활용동의,관리부서,데이터기준일자,위도,경도,좌표정확도
147,전라남도 담양군 대덕면 장산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2605127272089,127.023987366863,정확(리 단위)
148,전라남도 담양군 대덕면 장산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2605127272089,127.023987366863,정확(리 단위)
149,전라남도 담양군 대덕면 장산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2605127272089,127.023987366863,정확(리 단위)
150,전라남도 담양군 대덕면 장산리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2605127272089,127.023987366863,정확(리 단위)
151,전라남도 담양군 대덕면 비차리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.257053878513,127.003868056846,정확(리 단위)
152,전라남도 담양군 대덕면 비차리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.257053878513,127.003868056846,정확(리 단위)
153,전라남도 담양군 대덕면 비차리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.257053878513,127.003868056846,정확(리 단위)
154,전라남도 담양군 대덕면 비차리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.257053878513,127.003868056846,정확(리 단위)
155,전라남도 담양군 대덕면 금산리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2651638487185,127.037457949405,정확(리 단위)
156,전라남도 담양군 대덕면 금산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2651638487185,127.037457949405,정확(리 단위)
157,전라남도 담양군 대덕면 금산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2651638487185,127.037457949405,정확(리 단위)
158,전라남도 담양군 대덕면 금산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2651638487185,127.037457949405,정확(리 단위)
159,전라남도 담양군 대덕면 성곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2634746788823,127.059972794149,정확(리 단위)
160,전라남도 담양군 대덕면 성곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2634746788823,127.059972794149,정확(리 단위)
161,전라남도 담양군 대덕면 성곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2634746788823,127.059972794149,정확(리 단위)
162,전라남도 담양군 대덕면 성곡리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2634746788823,127.059972794149,정확(리 단위)
163,전라남도 담양군 대덕면 성곡리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2634746788823,127.059972794149,정확(리 단위)
164,전라남도 담양군 대덕면 성곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2634746788823,127.059972794149,정확(리 단위)
165,전라남도 담양군 대덕면 성곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2634746788823,127.059972794149,정확(리 단위)
166,전라남도 담양군 대덕면 성곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2634746788823,127.059972794149,정확(리 단위)
167,전라남도 담양군 대덕면 성곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2634746788823,127.059972794149,정확(리 단위)
