연번,위치주소(지번 비공개),조사년도,빈집유형,주택유형,철거 또는 활용동의,관리부서,데이터기준일자
239,전라남도 담양군 용면 두장리,2022,활용형,단독주택,미동의,도시과,2023-05-15
240,전라남도 담양군 용면 두장리,2022,활용형,단독주택,미동의,도시과,2023-05-15
241,전라남도 담양군 용면 두장리,2022,활용형,단독주택,미동의,도시과,2023-05-15
242,전라남도 담양군 용면 두장리,2022,활용형,단독주택,미동의,도시과,2023-05-15
243,전라남도 담양군 용면 두장리,2022,활용형,단독주택,미동의,도시과,2023-05-15
244,전라남도 담양군 용면 통천리,2022,활용형,단독주택,미동의,도시과,2023-05-15
245,전라남도 담양군 용면 통천리,2022,활용형,단독주택,동의,도시과,2023-05-15
246,전라남도 담양군 용면 통천리,2022,활용형,단독주택,미동의,도시과,2023-05-15
247,전라남도 담양군 용면 통천리,2022,활용형,단독주택,미동의,도시과,2023-05-15
248,전라남도 담양군 용면 통천리,2022,활용형,단독주택,미동의,도시과,2023-05-15
249,전라남도 담양군 용면 통천리,2022,활용형,단독주택,미동의,도시과,2023-05-15
250,전라남도 담양군 용면 추성리 산,2022,활용형,단독주택,미동의,도시과,2023-05-15
251,전라남도 담양군 용면 쌍태리,2022,활용형,단독주택,미동의,도시과,2023-05-15
252,전라남도 담양군 용면 쌍태리,2022,활용형,단독주택,미동의,도시과,2023-05-15
253,전라남도 담양군 용면 쌍태리,2022,활용형,단독주택,미동의,도시과,2023-05-15
254,전라남도 담양군 용면 쌍태리,2022,활용형,단독주택,동의,도시과,2023-05-15
255,전라남도 담양군 용면 도림리,2022,활용형,단독주택,미동의,도시과,2023-05-15
256,전라남도 담양군 용면 월계리,2022,활용형,단독주택,미동의,도시과,2023-05-15
257,전라남도 담양군 용면 용연리,2022,활용형,단독주택,미동의,도시과,2023-05-15
258,전라남도 담양군 용면 용연리,2022,철거형,단독주택,미동의,도시과,2023-05-15
259,전라남도 담양군 용면 용연리,2022,활용형,단독주택,미동의,도시과,2023-05-15
260,전라남도 담양군 용면 용연리,2022,활용형,단독주택,미동의,도시과,2023-05-15
261,전라남도 담양군 용면 용연리,2022,활용형,단독주택,미동의,도시과,2023-05-15
262,전라남도 담양군 용면 용연리,2022,활용형,단독주택,미동의,도시과,2023-05-15
263,전라남도 담양군 월산면 월산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
264,전라남도 담양군 월산면 월산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
265,전라남도 담양군 월산면 월산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
266,전라남도 담양군 월산면 월산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
267,전라남도 담양군 월산면 월평리,2022,활용형,단독주택,미동의,도시과,2023-05-15
268,전라남도 담양군 월산면 중월리,2022,활용형,단독주택,미동의,도시과,2023-05-15
269,전라남도 담양군 월산면 중월리,2022,철거형,단독주택,미동의,도시과,2023-05-15
270,전라남도 담양군 월산면 중월리,2022,활용형,단독주택,미동의,도시과,2023-05-15
271,전라남도 담양군 월산면 중월리,2022,활용형,단독주택,미동의,도시과,2023-05-15
272,전라남도 담양군 월산면 용흥리,2022,활용형,단독주택,미동의,도시과,2023-05-15
273,전라남도 담양군 월산면 용암리,2022,활용형,단독주택,미동의,도시과,2023-05-15
274,전라남도 담양군 월산면 용암리,2022,철거형,단독주택,미동의,도시과,2023-05-15
275,전라남도 담양군 월산면 용암리,2022,활용형,단독주택,미동의,도시과,2023-05-15
276,전라남도 담양군 월산면 용암리,2022,철거형,단독주택,미동의,도시과,2023-05-15
277,전라남도 담양군 월산면 용암리,2022,활용형,단독주택,미동의,도시과,2023-05-15
278,전라남도 담양군 월산면 신계리,2022,활용형,단독주택,미동의,도시과,2023-05-15
279,전라남도 담양군 월산면 신계리,2022,활용형,단독주택,미동의,도시과,2023-05-15
280,전라남도 담양군 월산면 광암리,2022,활용형,단독주택,미동의,도시과,2023-05-15
281,전라남도 담양군 월산면 광암리,2022,활용형,단독주택,미동의,도시과,2023-05-15
282,전라남도 담양군 월산면 광암리,2022,활용형,단독주택,미동의,도시과,2023-05-15
283,전라남도 담양군 월산면 광암리,2022,활용형,단독주택,미동의,도시과,2023-05-15
284,전라남도 담양군 월산면 광암리,2022,활용형,단독주택,미동의,도시과,2023-05-15
285,전라남도 담양군 월산면 광암리,2022,활용형,단독주택,미동의,도시과,2023-05-15
286,전라남도 담양군 월산면 광암리,2022,철거형,단독주택,미동의,도시과,2023-05-15
287,전라남도 담양군 월산면 광암리,2022,활용형,단독주택,미동의,도시과,2023-05-15
288,전라남도 담양군 월산면 광암리 산,2022,철거형,단독주택,미동의,도시과,2023-05-15
289,전라남도 담양군 월산면 오성리,2022,활용형,단독주택,미동의,도시과,2023-05-15
290,전라남도 담양군 월산면 월계리,2022,철거형,단독주택,미동의,도시과,2023-05-15
291,전라남도 담양군 월산면 월계리,2022,활용형,단독주택,미동의,도시과,2023-05-15
292,전라남도 담양군 월산면 월계리,2022,철거형,단독주택,미동의,도시과,2023-05-15
293,전라남도 담양군 월산면 월계리,2022,활용형,단독주택,미동의,도시과,2023-05-15
